news_url,outlet,outlet_latitude,outlet_longitude,gpe,gpe_latitude,gpe_longitude,gpe_county,gpe_occurrences,group_ID,gpe_new,gpe_sum,Quadrant
https://6abc.com/nypd-officer-suspect-killed-in-the-bronx/5576702/,6abc.com,41.1288481,-74.6868815,Yorktown Heights,41.2709274,-73.7776336,Westchester County,1,1261,Yorktown Heights,1,Quadrant 1
https://6abc.com/2-feet-of-snow-slams-the-dakotas-california-fires-rage-on/5613816/,6abc.com,41.1288481,-74.6868815,Nantucket,41.2834704,-70.099451,Nantucket County,1,1262,Nantucket,1,Quadrant 1
https://6abc.com/localish/neighborhood-market-supports-local-farmers/6371174/,6abc.com,41.1288481,-74.6868815,Fallbrook,33.3764196,-117.2511466,San Diego County,1,307,Fallbrook,1,Quadrant 1
https://6abc.com/boys-good-deed-goes-rewarded-after-returning-$900-to-elderly-woman/5841233/,6abc.com,41.1288481,-74.6868815,Hoover,33.4053867,-86.8113781,Jefferson County,1,308,Hoover,1,Quadrant 1
https://6abc.com/house-committee-report-says-boeing-faa-failures-to-blame-for-deadly-737-max-crashes-/6425337/,6abc.com,41.1288481,-74.6868815,Indonesia,-0.789275,113.921327,,1,22,Indonesia,1,Quadrant 1
https://6abc.com/former-nj-police-chief-officers-are-guardians-not-warriors/6242580/,6abc.com,41.1288481,-74.6868815,The City Of Camden Police Department,34.24653929999999,-80.6070237,Kershaw County,1,384,The City Of Camden Police Department,1,Quadrant 1
https://6abc.com/south-carolina-priest-denied-joe-biden-communion-over-abortion-stance/5659540/,6abc.com,41.1288481,-74.6868815,Florence,33.9828684,-79.6502105,Florence County,1,352,Florence,1,Quadrant 1
https://6abc.com/sports/nba-power-rankings-week-4-sixers-fall-suns-rise-and-la-at-the-top/5689347/,6abc.com,41.1288481,-74.6868815,Sac,33.7579713,-117.888884,Orange County,1,328,Sac,1,Quadrant 1
https://6abc.com/community-events/local-veteran-honored-with-a-birthday-parade/6420522/,6abc.com,41.1288481,-74.6868815,Fiji Island,-17.713371,178.065032,,1,18,Fiji Island,1,Quadrant 1
https://6abc.com/health/cooperative-gardens-cropping-up-across-philadelphia-to-help-those-in-need/6199705/,6abc.com,41.1288481,-74.6868815,Fisher Park,47.7166836,-104.144936,Richland County,1,1528,Fisher Park,1,Quadrant 1
https://6abc.com/man-hailed-as-hero-for-saving-the-lives-of-3-men-from-overturned-car-in-icy-pond/5844482/,6abc.com,41.1288481,-74.6868815,Bellevue,47.6101497,-122.2015159,King County,1,1526,Bellevue,1,Quadrant 1
https://6abc.com/localish/ramen-noodles-meets-birria/6371141/,6abc.com,41.1288481,-74.6868815,Cocina Los V,34.0186986,-118.1852873,Los Angeles County,1,355,Cocina Los V,1,Quadrant 1
https://6abc.com/entertainment/everything-you-need-to-know-about-the-little-mermaid-live/5658911/,6abc.com,41.1288481,-74.6868815,Hollywood Bowl,34.112224,-118.3391279,Los Angeles County,1,373,Hollywood Bowl,1,Quadrant 1
https://6abc.com/officer-being-hit-by-train-captured-on-body-cam/5844410/,6abc.com,41.1288481,-74.6868815,Rockmart,34.0026005,-85.0416133,Polk County,1,354,Rockmart,1,Quadrant 1
https://6abc.com/society/viola-davis-reflects-on-past-for-55th-birthday/6367033/,6abc.com,41.1288481,-74.6868815,Saint Matthews,33.664876,-80.77786809999999,Calhoun County,1,320,Saint Matthews,1,Quadrant 1
https://6abc.com/weather/at-least-7-dead-as-storms-hit-oklahoma-texas-and-louisiana/6124527/,6abc.com,41.1288481,-74.6868815,Madill,34.0903751,-96.7716691,Marshall County,1,367,Madill,1,Quadrant 1
https://6abc.com/man-charged-for-sending-threatening-emails-to-philly-police-commissioner/6250675/,6abc.com,41.1288481,-74.6868815,West Dennis,41.6645557,-70.17279669999999,Barnstable County,1,1305,West Dennis,1,Quadrant 1
https://6abc.com/society/nobel-peace-prize-awarded-to-ethiopian-leader/5610554/,6abc.com,41.1288481,-74.6868815,Somalia,5.152149,46.199616,,1,29,Somalia,1,Quadrant 1
https://6abc.com/college-gymnast-dies-following-practice-accident-in-connecticut/5689993/,6abc.com,41.1288481,-74.6868815,Hamden,41.3838782,-72.9026064,New Haven County,1,1273,Hamden,1,Quadrant 1
