GPE,Latitude,Longitude,group_ID
Anchorage Beach,40.3673046,-73.9735742,153
Spain,40.46366700000001,-3.74922,154
Flemington,40.5123258,-74.85933179999999,155
Indiana,40.5512165,-85.60236429999999,156
Brooklyn,40.6781784,-73.9441579,157
New York,40.7127753,-74.0059728,158
Queens,40.7282239,-73.7948516,159
Manhattan,40.7830603,-73.9712488,160
Puglia,40.7928393,17.1011931,161
Montville,40.9148209,-74.383763,162
Bari,41.1171432,16.8718715,163
Pa,41.2033216,-77.1945247,164
Davenport,41.5236437,-90.5776367,165
St Kilda,41.573812,-93.7085556,166
Connecticut,41.6032207,-73.087749,167
Crescent City,41.7557501,-124.2025913,168
Providence,41.8239891,-71.4128343,169
North Dighton,41.8644591,-71.13003379999999,170
Italy,41.87194,12.56738,171
Saint Minerva,41.8979888,12.4780226,172
Rome,41.9027835,12.4963655,173
Tower Hill,42.360568,-71.72748849999999,174
Htl'M'.9)Ma',42.4072107,-71.3824374,175
Malden,42.4250964,-71.066163,176
Westmere,42.6911891,-73.8687343,177
Florence,43.7695604,11.2558136,178
Collingwood,44.50076869999999,-80.2169047,179
Oak Island,44.5122805,-64.2949465,180
Bordeaux,44.837789,-0.57918,181
Ottawa,45.4215296,-75.69719309999999,182
Venice,45.4408474,12.3155151,183
Piazza Duomo,45.4641941,9.189698,184
Portland,45.515232,-122.6783853,185
Lyon,45.764043,4.835659,186
France,46.227638,2.213749,187
France,46.227638,2.213749,187
Soll(S,46.3598939,11.241014,188
Quebec,46.8130816,-71.20745959999999,189
Thal.,47.078596,15.3552061,190
Hungary,47.162494,19.503304,191
Kazakh,48.019573,66.923684,192
Marysville,48.0517637,-122.1770818,193
Vienna,48.2081743,16.3738189,194
Ukraine,48.379433,31.16558,195
West Victoria,48.433684,-123.38718,196
Paris,48.856614,2.3522219,197
Jersey,49.2137711,-2.1357662,198
Vancouver,49.2827291,-123.1207375,199
Rothenburg,49.3801834,10.1867388,200
Guernsey,49.4481982,-2.58949,201
Winnipeg,49.8954221,-97.1385145,202
Dart­ Moor,50.5718857,-3.9206884,203
Lille,50.62925,3.057256,204
Germany,51.165691,10.451526,205
Penshurst,51.1727246,0.1824358,206
Blackheath,51.4658393,0.0090338,207
Mortlake,51.4687363,-0.2627417,208
London,51.5072178,-0.1275862,209
Euston,51.5280991,-0.1332084,210
South Wales,51.6858341,-3.3821421,211
Olmln L400,51.8670254,5.8721896,212
