Location,Latitude,Longitude,Count,group_id
Union County,40.6595001,-74.2883536,2,210.0
Berkeley Heights,40.6808726,-74.4310524,6,220.0
Long Hill,40.68288920000001,-74.49359129999999,2,221.0
Weequahic Park,40.6929992,-74.2048413,3,223.0
Union,40.6975898,-74.26316349999999,40,226.0
New Providence,40.6984348,-74.4015405,21,227.0
Jersey City’s,40.7177545,-74.0431435,10,232.0
‘Jersey,40.7177545,-74.0431435,2,232.0
Jersey City,40.7177545,-74.0431435,332,232.0
Our Jersey,40.7177545,-74.0431435,2,232.0
Jersey,40.7177545,-74.0431435,40,232.0
The Jersey City,40.7177545,-74.0431435,3,232.0
Save Jersey,40.7177545,-74.0431435,8,232.0
Jersey City Ward,40.7177545,-74.0431435,2,232.0
City,40.7177545,-74.0431435,2,232.0
D-Jersey City,40.7177545,-74.0431435,3,232.0
the Jersey,40.7177545,-74.0431435,1,232.0
Jersey City Prep,40.7177545,-74.0431435,2,232.0
“Jersey City 2021,40.7177545,-74.0431435,1,232.0
Hong Kong,40.7186864,-74.184202,13,234.0
Bernardsville,40.7187119,-74.569324,2,235.0
Downtown Jersey City,40.7190163,-74.04136559999999,2,236.0
Chatham Township,40.7265893,-74.4172591,16,238.0
Hamilton Park,40.7277047,-74.04690339999999,1,239.0
Choose New Jersey,40.7345219,-74.1656648,3,245.0
Hoboken,40.7439905,-74.0323626,71,252.0
South Orange,40.7489277,-74.2609903,1,255.0
East Newark,40.7497019,-74.16363129999999,10,256.0
Madison,40.7598227,-74.417097,3,258.0
Chester Township,40.7652883,-74.69858909999999,17,260.0
Kearny,40.7684342,-74.1454214,1,261.0
Montana,40.7692146,-75.0656288,5,262.0
Mendham Borough,40.7759334,-74.6007142,2,264.0
Arlington,40.7774222,-74.13801099999999,4,265.0
Union City,40.7795455,-74.02375119999999,2,266.0
Livingston,40.7862871,-74.3300842,23,269.0
Florham Park,40.787878,-74.3882072,1,271.0
West New York,40.7878788,-74.0143064,26,272.0
North Arlington,40.788434,-74.1331988,14,273.0
Morris,40.7933833,-74.505312,24,276.0
Belleville,40.7936744,-74.15004689999999,12,277.0
Essex County’s,40.7947466,-74.2648829,12,278.0
Essex County,40.7947466,-74.2648829,220,278.0
the Essex County,40.7947466,-74.2648829,1,278.0
Essex county,40.7947466,-74.2648829,3,278.0
Essex County Superintendent,40.7947466,-74.2648829,1,278.0
West Orange,40.7985699,-74.23908279999999,8,282.0
New Jersey Transit,40.8041725,-74.4781504,12,283.0
East Hanover,40.8200623,-74.3647247,13,288.0
Cliffside Park,40.8214894,-73.9876388,9,290.0
Morris County,40.8336038,-74.54632819999999,1,296.0
East Rutherford,40.833989,-74.0970865,3,297.0
West Caldwell,40.8409329,-74.3018154,4,298.0
Palisades Park,40.8481556,-73.99763899999999,2,299.0
Fort Lee,40.8509333,-73.9701381,40,300.0
Cedar Grove,40.8517876,-74.2290319,10,301.0
P.C.,40.8524548,-73.9943284,5,302.0
Hackettstown,40.8539879,-74.8290555,1,303.0
Passaic City,40.8567662,-74.1284764,2,304.0
Hasbrouck Heights,40.85815530000001,-74.0806971,4,305.0
Leonia,40.8614887,-73.9881942,2,306.0
North Caldwell,40.8648215,-74.2582027,2,307.0
Vienna,40.8689061,-74.8892158,3,309.0
Mine Hill,40.8778768,-74.5937701,7,312.0
Warren County,40.8841854,-74.92087719999999,215,315.0
Woodland Park,40.8898212,-74.19486739999999,16,318.0
Denville,40.8923212,-74.47737750000002,43,320.0
County,40.8948212,-74.4329314,1,323.0
County,40.8948212,-74.4329314,21,323.0
County,40.8948212,-74.4329314,12,323.0
County,40.8948212,-74.4329314,23,323.0
County,40.8948212,-74.4329314,4,323.0
County,40.8948212,-74.4329314,1,323.0
NJ United,40.89482960000001,-74.2295762,6,324.0
Rockaway Borough,40.8958681,-74.514102,1,325.0
Elmwood Park,40.9039878,-74.118476,7,328.0
Boonton,40.904019,-74.4087405,1,329.0
Rochelle Park,40.9073328,-74.07512729999999,2,331.0
