Location,Latitude,Longitude,Count,group_id
Farlee,40.0583238,-74.4056612,2,100.0
Polk,40.0583238,-74.4056612,2,100.0
WolfeMichael,40.0583238,-74.4056612,1,100.0
Pascrell,40.0583238,-74.4056612,16,100.0
St. Patrick’s Day,40.0583238,-74.4056612,1,100.0
the New Jersey State,40.0583238,-74.4056612,3,100.0
Zedelis,40.0583238,-74.4056612,3,100.0
Albarta,40.0583238,-74.4056612,2,100.0
New York Yankees,40.0583238,-74.4056612,1,100.0
Mother,40.0583238,-74.4056612,2,100.0
Gilmore,40.0583238,-74.4056612,2,100.0
Ireland,40.0583238,-74.4056612,3,100.0
Smart,40.0583238,-74.4056612,1,100.0
New Guinea,40.0583238,-74.4056612,4,100.0
Osmers,40.0583238,-74.4056612,8,100.0
Colorado,40.0583238,-74.4056612,6,100.0
TapInto,40.0583238,-74.4056612,9,100.0
Philippines,40.0583238,-74.4056612,2,100.0
Gottheimer,40.0583238,-74.4056612,3,100.0
Oroho,40.0583238,-74.4056612,1,100.0
DC,40.0583238,-74.4056612,7,100.0
New Jersey House,40.0583238,-74.4056612,12,100.0
Rivera,40.0583238,-74.4056612,24,100.0
Corrado,40.0583238,-74.4056612,26,100.0
Norcross,40.0583238,-74.4056612,4,100.0
Gannett,40.0583238,-74.4056612,8,100.0
Hague,40.0583238,-74.4056612,4,100.0
Austin,40.0583238,-74.4056612,3,100.0
a United States Foreign Service Officer,40.0583238,-74.4056612,2,100.0
VA,40.0583238,-74.4056612,2,100.0
Annapolis,40.0583238,-74.4056612,3,100.0
Aldermen,40.0583238,-74.4056612,1,100.0
Paladino,40.0583238,-74.4056612,12,100.0
Danielle,40.0583238,-74.4056612,3,100.0
North Jersey,40.0583238,-74.4056612,92,100.0
Ankeny,40.0583238,-74.4056612,1,100.0
Jasper County,40.0583238,-74.4056612,2,100.0
Iran,40.0583238,-74.4056612,17,100.0
"Aluminium, Formaldehyde",40.0583238,-74.4056612,1,100.0
Platkin,40.0583238,-74.4056612,2,100.0
Korea,40.0583238,-74.4056612,10,100.0
Rabbis,40.0583238,-74.4056612,2,100.0
Matos,40.0583238,-74.4056612,1,100.0
Hearing,40.0583238,-74.4056612,2,100.0
South Carolina Booker,40.0583238,-74.4056612,1,100.0
Hawaii,40.0583238,-74.4056612,4,100.0
Grand Rapids Resigned,40.0583238,-74.4056612,2,100.0
Grand Rapids Leave,40.0583238,-74.4056612,1,100.0
GottheimerMikie,40.0583238,-74.4056612,1,100.0
WildwoodMichael,40.0583238,-74.4056612,1,100.0
Marano,40.0583238,-74.4056612,7,100.0
Toledo,40.0583238,-74.4056612,24,100.0
Fulop,40.0583238,-74.4056612,1,100.0
Langley,40.0583238,-74.4056612,3,100.0
Asselta,40.0583238,-74.4056612,10,100.0
Isle City,40.0583238,-74.4056612,3,100.0
CastellanoMark,40.0583238,-74.4056612,1,100.0
Downey,40.0583238,-74.4056612,2,100.0
New Hampshire’s,40.0583238,-74.4056612,4,100.0
Pappas,40.0583238,-74.4056612,2,100.0
New Hampshire Leave,40.0583238,-74.4056612,1,100.0
the Atlantic States,40.0583238,-74.4056612,3,100.0
Decker,40.0583238,-74.4056612,2,100.0
Ca,40.0583238,-74.4056612,1,100.0
Vimeo,40.0583238,-74.4056612,1,100.0
Corzine,40.0583238,-74.4056612,1,100.0
Vermont,40.0583238,-74.4056612,1,100.0
Grand Rapids,40.0583238,-74.4056612,13,100.0
Delgado,40.0583238,-74.4056612,17,100.0
Weinberg,40.0583238,-74.4056612,24,100.0
Holt,40.0583238,-74.4056612,1,100.0
Louisiana,40.0583238,-74.4056612,5,100.0
HarrisonGordon,40.0583238,-74.4056612,1,100.0
Morey,40.0583238,-74.4056612,11,100.0
Yacht,40.0583238,-74.4056612,1,100.0
Young,40.0583238,-74.4056612,2,100.0
New Kennedy,40.0583238,-74.4056612,3,100.0
Tobin,40.0583238,-74.4056612,10,100.0
Garden,40.0583238,-74.4056612,2,100.0
New Jersey State,40.0583238,-74.4056612,5,100.0
the Capital City,40.0583238,-74.4056612,3,100.0
Nashville,40.0583238,-74.4056612,2,100.0
St. Anselm,40.0583238,-74.4056612,2,100.0
New DCCC,40.0583238,-74.4056612,2,100.0
Illinois,40.0583238,-74.4056612,1,100.0
Byrne,40.0583238,-74.4056612,1,100.0
U.S.,40.0583238,-74.4056612,736,100.0
Kennedy,40.0583238,-74.4056612,1,100.0
Seattle,40.0583238,-74.4056612,1,100.0
Oregon,40.0583238,-74.4056612,1,100.0
Wilmington,40.0583238,-74.4056612,1,100.0
navigation County,40.0583238,-74.4056612,1,100.0
Cheshire County,40.0583238,-74.4056612,4,100.0
Verrelli,40.0583238,-74.4056612,6,100.0
Noemi Velázquez,40.0583238,-74.4056612,7,100.0
Shanksville,40.0583238,-74.4056612,2,100.0
the West Ward,40.0583238,-74.4056612,2,100.0
Demondo,40.0583238,-74.4056612,3,100.0
n’t,40.0583238,-74.4056612,142,100.0
Velázquez,40.0583238,-74.4056612,2,100.0
Noemi Velazquez,40.0583238,-74.4056612,1,100.0
red county,40.0583238,-74.4056612,3,100.0
Arango,40.0583238,-74.4056612,5,100.0
Kamala,40.0583238,-74.4056612,2,100.0
Republican-,40.0583238,-74.4056612,2,100.0
Law360,40.0583238,-74.4056612,3,100.0
50%-26%,40.0583238,-74.4056612,2,100.0
Merkt,40.0583238,-74.4056612,13,100.0
Ramundo,40.0583238,-74.4056612,2,100.0
Longtime,40.0583238,-74.4056612,6,100.0
Quattrocchi,40.0583238,-74.4056612,12,100.0
Democratic,40.0583238,-74.4056612,2,100.0
Cartabona,40.0583238,-74.4056612,1,100.0
Hulu,40.0583238,-74.4056612,1,100.0
Netflix,40.0583238,-74.4056612,1,100.0
Curb,40.0583238,-74.4056612,1,100.0
Take Back New Jersey,40.0583238,-74.4056612,1,100.0
Wisconsin,40.0583238,-74.4056612,2,100.0
Barnes,40.0583238,-74.4056612,1,100.0
Risley,40.0583238,-74.4056612,1,100.0
America,40.0583238,-74.4056612,126,100.0
