Location,Latitude,Longitude,Count
Tenafly,40.9253766,-73.9629154,68
Short Hills,40.7483499,-74.3232194,32
Morris County Home,40.8336038,-74.54632819999999,3
Surrounding Areas,40.0583238,-74.4056612,17
Ho-Ho-Kus PD,40.99648639999999,-74.101253,4
Jersey City Shooting,40.7177545,-74.0431435,67
St. Joseph's,40.9028517,-74.1662739,91
Canela,40.0583238,-74.4056612,26
Lesmes,40.0583238,-74.4056612,26
Frankford,41.1662778,-74.74541119999999,4
Yours,40.0583238,-74.4056612,10
Firebombings,40.0583238,-74.4056612,2
Trenton,40.2205824,-74.759717,65
Columbus,40.0727889,-74.7206894,3
Minneapolis,40.0583238,-74.4056612,1
Maryland,40.1528907,-74.3776489,83
Ocean City,39.2776156,-74.5746001,34
Kaitlyn,40.0583238,-74.4056612,34
Hubbard,40.0583238,-74.4056612,34
Del.,40.243168,-74.0006927,34
Townsend,40.0583238,-74.4056612,34
Monmouth County,40.2589455,-74.12399599999999,19
Eatentown,40.2962222,-74.0509725,10
Freehold,40.2136754,-74.3000878,10
america,40.0583238,-74.4056612,10
Saint Joseph’s,40.0583238,-74.4056612,6
Township of Washington,40.9912886,-74.0597897,38
Delagente,41.0253239,-74.2390709,6
Ukraine,40.0583238,-74.4056612,202
Bridgeport,39.8004233,-75.3478016,21
Ocean Township,40.2645806,-74.0420699,7
