GPE,Count,Latitude,Longitude,group_ID,GPE_new,Discrepancy
Tower Hill,1,42.360568,-71.72748849999999,286,Boylston,1
bu incs,1,42.3504997,-71.1053991,285,Boston,1
Georgia,4,42.315407,43.35689199999999,284,Pasieti,1
Georgia,1,42.315407,43.35689199999999,284,Pasieti,1
Jamecca Plains,1,42.3132414,-71.1141118,283,Boston,1
aghl,1,42.2785217,-88.9787934,282,Rockford,1
Pl!dto,1,41.9120866,3.1675342,281,Palafrugell,1
Saint Minerva,1,41.8979888,12.4780226,279,Rome,1
Italy,4,41.87194,12.56738,278,Rome,1
Italy,4,41.87194,12.56738,278,Rome,1
North Dighton,1,41.8644591,-71.13003379999999,277,Dighton,1
i.sa,1,41.8500231,-87.9424422,276,Oak Brook,1
ptav,1,41.7576994,-71.4320505,274,Warwick,1
Connecticut,1,41.6032207,-73.087749,272,Watertown,1
ri,1,41.5800945,-71.4774291,271,North Kingstown,1
ri,2,41.5800945,-71.4774291,271,North Kingstown,1
St Kilda's,1,41.573812,-93.7085556,270,West Des Moines,1
submer,1,41.480705,2.0239284,268,Rubí,1
Mt!scamnto,1,41.408969,-75.66241219999999,267,Scranton,1
PA,1,41.2033216,-77.1945247,266,Pennsylvania,1
Montville,1,40.9148209,-74.383763,264,Montville Township,1
Puglia,2,40.7928393,17.1011931,263,Noci,1
Manhattan,1,40.7830603,-73.9712488,262,New York,1
Manhattan,1,40.7830603,-73.9712488,262,New York,1
againsl,1,42.7792672,-1.6412543,293,Galar,1
Baynes,1,43.48788,-84.095123,295,Michigan,1
WEST Victoria,1,48.433684,-123.38718,330,Victoria,1
Mghl,1,43.6283242,-79.6491391,296,Mississauga,1
West Victoria,1,48.433684,-123.38718,330,Victoria,1
Ukraine,5,48.379433,31.16558,329,Dobrovelychkivka,1
Ukraine,1,48.379433,31.16558,329,Dobrovelychkivka,1
tum,2,48.14900799999999,11.5674039,327,Munich,1
Kazakh,1,48.019573,66.923684,325,Ulytau Region,1
Orleans,1,47.902964,1.909251,324,Orléans,1
Orleans,1,47.902964,1.909251,324,Orléans,1
bJue,1,47.80930009999999,9.2511273,322,Verwaltungsgemeinschaft Salem,1
"Jlmmys E.,Broadway",1,47.6114238,-122.3205578,321,Seattle,1
